0, 0, 350
CreateDYNObject(11491, 2780.799072, 1184.258057, 11.234776, 0.0000, 0.0000, 89.9994); //
CreateDYNObject(11490, 2769.700684, 1184.265137, 9.815995, 0.0000, 0.0000, 89.9994); //
CreateDYNObject(3279, 2742.055664, 1196.401611, 6.907241, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3279, 2741.811768, 1181.623657, 6.482913, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3624, 2773.911377, 1143.349609, 13.200954, 0.0000, 0.0000, 314.9999); //
CreateDYNObject(1225, 2750.411865, 1193.080688, 9.285135, 0.0000, 0.0000, 348.7528); //
CreateDYNObject(1225, 2752.506836, 1193.083008, 9.442739, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1225, 2752.506836, 1193.083008, 9.442739, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1225, 2754.723145, 1194.209106, 9.567737, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1225, 2752.451660, 1194.769165, 9.166526, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1225, 2752.019287, 1196.149048, 9.119449, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1225, 2753.365234, 1195.426514, 9.304079, 0.0000, 0.0000, 89.9994); //
CreateDYNObject(1225, 2754.166748, 1193.070313, 9.487914, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1225, 2767.022949, 1157.563965, 10.226068, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1225, 2767.501953, 1158.340454, 10.226068, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1225, 2766.506348, 1158.292725, 10.226068, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1225, 2759.789551, 1149.832764, 10.226068, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(918, 2765.591309, 1172.865845, 10.191841, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(918, 2765.696045, 1172.235962, 10.191841, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(918, 2764.978027, 1172.331299, 10.191841, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1686, 2764.912109, 1163.922485, 9.833616, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1686, 2764.896973, 1162.255249, 9.833614, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3398, 2741.986328, 1181.358154, 21.249451, 0.0000, 0.0000, 89.9994); //
CreateDYNObject(3398, 2741.602539, 1196.097290, 20.773804, 0.0000, 0.0000, 101.2523); //
CreateDYNObject(3398, 2740.107178, 1162.006592, 24.008726, 0.0000, 0.0000, 112.5052); //
CreateDYNObject(3398, 2755.183838, 1145.074951, 23.162218, 0.0000, 0.0000, 179.9996); //
CreateDYNObject(3398, 2756.085938, 1207.650391, 23.696199, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1478, 2735.576660, 1176.843750, 6.469677, 0.0000, 0.0000, 269.9998); //
CreateDYNObject(1307, 2742.341064, 1126.842163, 7.110300, 0.0000, 0.0000, 269.9998); //
CreateDYNObject(1257, 2734.004150, 1172.368530, 7.065454, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(851, 2743.183594, 1156.631470, 7.287686, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(853, 2741.345459, 1157.311523, 7.014648, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(910, 2765.589600, 1169.405518, 11.089468, 0.0000, 0.0000, 269.9998); //
CreateDYNObject(3797, 2774.567383, 1156.556763, 10.361186, 0.0000, 0.0000, 134.9995); //
CreateDYNObject(3797, 2773.395996, 1155.448120, 10.361186, 0.0000, 0.0000, 146.2524); //
CreateDYNObject(3797, 2772.463867, 1154.437378, 10.361186, 0.0000, 0.0000, 146.2524); //
CreateDYNObject(3794, 2778.897217, 1150.947510, 10.427352, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3793, 2778.928711, 1149.938477, 10.440216, 0.0000, 0.0000, 179.9996); //
CreateDYNObject(3788, 2777.011230, 1153.439453, 10.339671, 0.0000, 0.0000, 123.7523); //
CreateDYNObject(3790, 2776.997314, 1153.498535, 10.451472, 0.0000, 0.0000, 303.7527); //
CreateDYNObject(3787, 2782.265381, 1147.946655, 10.407344, 0.0000, 0.0000, 303.7527); //
CreateDYNObject(3397, 2782.754639, 1133.901123, 9.852518, 0.0000, 0.0000, 314.9999); //
CreateDYNObject(3396, 2785.281006, 1136.475464, 9.850676, 0.0000, 0.0000, 314.9999); //
CreateDYNObject(3392, 2780.295166, 1131.361084, 9.831194, 0.0000, 0.0000, 314.9999); //
CreateDYNObject(3386, 2786.725342, 1138.955200, 9.858536, 0.0000, 0.0000, 179.9996); //
CreateDYNObject(3389, 2777.700928, 1128.887451, 9.823179, 0.0000, 0.0000, 224.9997); //
CreateDYNObject(16322, 2766.108154, 1151.055298, 13.875973, 0.0000, 0.0000, 44.9993); //
CreateDYNObject(12950, 2774.295166, 1196.842896, 13.276611, 0.0000, 0.0000, 179.2089); //
CreateDYNObject(12950, 2774.248535, 1203.366699, 8.233461, 0.0000, 0.0000, 179.3120); //
CreateDYNObject(9241, 2801.675781, 1186.984985, 11.382345, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(16782, 2783.497070, 1133.936035, 15.190147, 0.0000, 0.0000, 134.9995); //
CreateDYNObject(14651, 2761.352051, 1142.935059, 12.061776, 0.0000, 0.0000, 44.9993); //
CreateDYNObject(971, 2737.484619, 1172.801392, 9.477530, 0.0000, 0.0000, 269.9998); //
CreateDYNObject(971, 2737.511230, 1164.307373, 9.504414, 0.0000, 0.0000, 269.9998); //
CreateDYNObject(971, 2737.314697, 1155.587646, 9.603988, 0.0000, 0.0000, 269.9998); //
CreateDYNObject(971, 2737.431885, 1146.703735, 9.507994, 0.0000, 0.0000, 89.9994); //
CreateDYNObject(971, 2737.526123, 1137.671753, 9.463068, 0.0000, 0.0000, 89.9994); //
CreateDYNObject(971, 2737.566895, 1128.918701, 9.380714, 0.0000, 0.0000, 89.9994); //
CreateDYNObject(971, 2741.825195, 1124.539429, 9.355711, 0.0000, 0.0000, 179.9996); //
CreateDYNObject(971, 2750.145264, 1124.584473, 10.827881, 0.0000, 0.0000, 179.9996); //
CreateDYNObject(971, 2758.640381, 1124.699951, 12.330935, 0.0000, 0.0000, 179.9996); //
CreateDYNObject(971, 2767.335693, 1123.839478, 12.703045, 0.0000, 0.0000, 168.7524); //
CreateDYNObject(971, 2776.157715, 1122.870483, 12.006104, 0.0000, 0.0000, 179.9996); //
CreateDYNObject(971, 2784.944824, 1122.610596, 12.135714, 0.0000, 0.0000, 179.9996); //
CreateDYNObject(971, 2792.302246, 1125.554321, 12.079554, 0.0000, 0.0000, 224.9997); //
CreateDYNObject(971, 2798.415527, 1131.779907, 13.466654, 0.0000, 0.0000, 224.9997); //
CreateDYNObject(971, 2801.501465, 1139.357788, 13.459497, 0.0000, 0.0000, 269.9998); //
CreateDYNObject(971, 2801.439697, 1148.278931, 13.497322, 0.0000, 0.0000, 269.9998); //
CreateDYNObject(971, 2801.376221, 1155.207642, 13.329229, 0.0000, 0.0000, 269.9998); //
CreateDYNObject(971, 2801.247803, 1164.109253, 13.029242, 0.0000, 0.0000, 269.9998); //
