3, 0, 350
CreateObject(12957, -1927.614501, -1725.883544, 21.628217, 0.000000, 0.000000, 0.000000);
CreateObject(952, -1917.913940, -1674.968383, 35.367160, -2.578310, -7.734930, 101.250007);
CreateObject(1437, -1919.546264, -1675.895263, 36.359939, -39.534088, -3.437746, -168.749938);
CreateObject(1437, -1910.880126, -1652.869506, 26.630990, -49.847270, -3.437746, -168.749938);
CreateObject(1437, -1909.560180, -1657.667724, 29.527755, -49.847270, -3.437746, -168.749938);
CreateObject(933, -1906.789306, -1653.703247, 22.012514, 0.000000, 0.000000, 0.000000);
CreateObject(933, -1906.787963, -1653.722778, 23.023092, 0.000000, 0.000000, 0.000000);
CreateObject(933, -1904.614135, -1653.173217, 22.012514, 0.000000, 0.000000, 0.000000);
CreateObject(933, -1906.768554, -1653.732788, 24.033670, 0.000000, 0.000000, 0.000000);
CreateObject(1327, -1904.492431, -1651.681640, 20.844186, -0.859436, 92.819107, 0.000000);
CreateObject(1358, -1886.352050, -1637.216186, 25.242609, 0.000000, 0.000000, 0.000000);
CreateObject(1365, -1893.005615, -1637.601440, 25.189680, 0.000000, 0.000000, 0.000000);
CreateObject(1307, -1888.961181, -1624.276000, 28.935138, -36.955776, 92.819107, 84.224739);
CreateObject(3877, -1883.909545, -1599.675292, 22.415740, 0.000000, 0.000000, 0.000000);
CreateObject(3287, -1801.649780, -1610.546386, 26.754671, 0.000000, 0.000000, 0.000000);
CreateObject(3502, -1793.843139, -1599.271362, 21.078664, -24.064226, 37.815216, -267.421630);
CreateObject(952, -1866.094604, -1550.875000, 22.091505, -2.578310, -7.734930, -89.999984);
CreateObject(931, -1862.226562, -1550.881347, 21.811904, 0.000000, 0.000000, 0.000000);
CreateObject(931, -1859.818603, -1550.929809, 20.661922, 0.000000, 0.000000, 0.000000);
CreateObject(931, -1859.810913, -1550.919555, 22.719625, 0.000000, 0.000000, 0.000000);
CreateObject(931, -1857.384887, -1550.925292, 21.811904, 0.000000, 0.000000, 0.000000);
CreateObject(931, -1857.385498, -1550.926025, 23.944606, 0.000000, 0.000000, 0.000000);
CreateObject(16481, -1838.606323, -1613.541870, 29.172721, 0.000000, 0.000000, 105.547134);
CreateObject(933, -1851.339599, -1709.017944, 39.773296, 0.000000, 0.000000, 0.000000);
CreateObject(933, -1849.839599, -1710.905883, 39.756362, 0.000000, 0.000000, 0.000000);
CreateObject(933, -1849.811279, -1710.902587, 40.766941, 0.000000, 0.000000, 0.000000);
CreateObject(933, -1849.819458, -1710.932006, 41.777519, 0.000000, 0.000000, 0.000000);
CreateObject(933, -1851.367675, -1708.990722, 40.783874, 0.000000, 0.000000, 0.000000);
CreateObject(933, -1852.849243, -1707.465576, 39.810737, 0.000000, 0.000000, 0.000000);
