0, 0, 350
CreateDYNObject(664, -270.051880, 1503.135132, 70.858803, 0.000000, 0.000000, 0.000000);
CreateDYNObject(7666, -269.888641, 1502.986694, 120.548187, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3534, -269.896545, 1514.204102, 81.063591, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3534, -277.796509, 1510.904785, 81.063591, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3534, -282.296265, 1502.930054, 82.413673, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3534, -278.596375, 1494.229858, 82.588684, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3534, -269.846619, 1490.504395, 82.688690, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3534, -260.946594, 1494.054443, 82.763695, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3534, -258.271149, 1503.030884, 81.113625, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3534, -261.721100, 1511.181030, 81.113625, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3472, -269.263336, 1503.803101, 74.953262, 0.000000, 0.000000, 78.7500122644);
CreateDYNObject(3472, -269.263336, 1503.803101, 68.603256, 0.000000, 0.000000, 134.999971914);
CreateDYNObject(3472, -269.263336, 1503.803101, 80.403259, 0.000000, 0.000000, 134.999971914);
CreateDYNObject(3472, -269.263336, 1503.277588, 86.178261, 0.000000, 0.000000, 180.000019848);
CreateDYNObject(3472, -269.488281, 1503.077393, 93.953293, 0.000000, 0.000000, 33.7500216264);
CreateDYNObject(3525, -257.385956, 1518.236084, 87.281425, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3525, -273.285919, 1520.435791, 87.756454, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3525, -287.535919, 1513.685791, 87.981468, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3525, -291.061035, 1499.710083, 86.706436, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3525, -280.861023, 1487.635254, 87.281471, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3525, -265.361145, 1485.685547, 86.481453, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3525, -251.036102, 1494.785156, 87.706467, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3525, -249.211121, 1508.110474, 86.531441, 0.000000, 0.000000, 0.000000);
CreateDYNObject(3038, -273.188751, 1506.304932, 80.775665, 0.000000, 0.000000, 44.999990638);
CreateDYNObject(3038, -274.963440, 1502.778687, 80.775665, 6.01605684887, 0.000000, 93.5150773492);
CreateDYNObject(3038, -273.138519, 1499.855225, 81.000679, 1.71887338539, 0.000000, 133.358390535);
CreateDYNObject(3038, -269.813416, 1498.130249, 81.000679, 6.01605684887, 0.000000, 180.077311854);
CreateDYNObject(3038, -265.013611, 1498.130249, 80.600655, 2.57831007809, 0.000000, 225.077302492);
CreateDYNObject(3038, -264.713135, 1503.079956, 80.500648, 2.57831007809, 0.000000, 270.077350426);
CreateDYNObject(3038, -265.888153, 1506.955322, 80.500648, 2.57831007809, 0.000000, 315.077341064);
CreateDYNObject(3038, -269.888092, 1508.179810, 80.500648, 2.57831007809, 0.000000, 0.0774638939017);
CreateDYNObject(354, -269.563171, 1504.578369, 84.237236, 0.000000, 0.000000, 0.000000);
CreateDYNObject(354, -270.045074, 1514.729004, 86.492126, 0.000000, 0.000000, 0.000000);
CreateDYNObject(354, -278.495209, 1511.579346, 86.492126, 0.000000, 0.000000, 0.000000);
CreateDYNObject(354, -282.188751, 1502.903931, 87.284554, 0.000000, 0.000000, 0.000000);
CreateDYNObject(354, -278.828003, 1493.936768, 87.822136, 0.000000, 0.000000, 0.000000);
CreateDYNObject(354, -269.760590, 1490.211426, 87.822166, 0.000000, 0.000000, 0.000000);
CreateDYNObject(354, -260.410553, 1493.888794, 87.972176, 0.000000, 0.000000, 0.000000);
CreateDYNObject(354, -257.218018, 1503.240845, 86.872154, 0.000000, 0.000000, 0.000000);
CreateDYNObject(354, -260.967102, 1511.640503, 86.872154, 0.000000, 0.000000, 0.000000);
CreateDYNObject(354, -269.577484, 1503.001831, 112.052086, 0.000000, 0.000000, 0.000000);
CreateDYNObject(354, -269.589142, 1503.045044, 108.413361, 0.000000, 0.000000, 0.000000);
CreateDYNObject(354, -269.589142, 1503.045044, 104.413361, 0.000000, 0.000000, 0.000000);
